Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion
1,facilitating,1,-1000,8,12,0.385662480811985,0.197647058823529,0.6
1,facilitating,2,-950,8,12,0.385662480811985,0.197647058823529,0.6
1,facilitating,3,-900,5,14,0.969400557188103,0.250783699059561,0.736842105263158
1,facilitating,4,-850,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,5,-800,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,6,-750,6,11,0.570544858467613,0.240802675585284,0.647058823529412
1,facilitating,7,-700,5,13,0.897941593205959,0.255892255892256,0.722222222222222
1,facilitating,8,-650,3,12,1.27296567581289,0.365714285714286,0.8
1,facilitating,9,-600,3,12,1.27296567581289,0.365714285714286,0.8
1,facilitating,10,-550,3,12,1.27296567581289,0.365714285714286,0.8
1,facilitating,11,-500,3,12,1.27296567581289,0.365714285714286,0.8
1,facilitating,12,-450,3,12,1.27296567581289,0.365714285714286,0.8
1,facilitating,13,-400,3,12,1.27296567581289,0.365714285714286,0.8
1,facilitating,14,-350,3,14,1.42138568093116,0.354679802955665,0.823529411764706
1,facilitating,15,-300,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,16,-250,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,17,-200,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,18,-150,4,15,1.23676262714893,0.28673835125448,0.789473684210526
1,facilitating,19,-100,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,20,-50,5,15,1.03609193168678,0.24633431085044,0.75
1,facilitating,21,0,7,10,0.336472236621213,0.228571428571429,0.588235294117647
1,facilitating,22,50,12,9,-0.27443684570176,0.185263157894737,0.428571428571429
1,facilitating,23,100,12,9,-0.27443684570176,0.185263157894737,0.428571428571429
1,facilitating,24,150,9,9,0,0.210526315789474,0.5
1,facilitating,25,200,9,9,0,0.210526315789474,0.5
1,facilitating,26,250,9,10,0.100083458556983,0.200501253132832,0.526315789473684
1,facilitating,27,300,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,28,350,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,29,400,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,30,450,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,31,500,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,32,550,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,facilitating,33,600,4,12,1.02165124753198,0.302222222222222,0.75
1,facilitating,34,650,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,35,700,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,36,750,3,16,1.55059741241117,0.346320346320346,0.842105263157895
1,facilitating,37,800,3,18,1.66500776358891,0.33976833976834,0.857142857142857
1,facilitating,38,850,0,19,3.66356164612965,2.05128205128205,1
1,facilitating,39,900,0,20,3.71357206670431,2.04878048780488,1
1,facilitating,40,950,0,18,3.61091791264422,2.05405405405405,1
1,facilitating,41,1000,0,16,3.49650756146648,2.06060606060606,1
1,facilitating,42,1050,0,15,3.43398720448515,2.06451612903226,1
1,facilitating,43,1100,0,15,3.43398720448515,2.06451612903226,1
1,facilitating,44,1150,3,15,1.48807705542983,0.350230414746544,0.833333333333333
1,facilitating,45,1200,3,13,1.34992671694902,0.35978835978836,0.8125
1,facilitating,46,1250,4,9,0.747214401830221,0.327485380116959,0.692307692307692
1,facilitating,47,1300,6,9,0.379489621704904,0.259109311740891,0.6
1,facilitating,48,1350,6,9,0.379489621704904,0.259109311740891,0.6
1,facilitating,49,1400,7,9,0.23638877806423,0.23859649122807,0.5625
1,facilitating,50,1450,9,9,0,0.210526315789474,0.5
1,facilitating,51,1500,9,9,0,0.210526315789474,0.5
1,facilitating,52,1550,9,9,0,0.210526315789474,0.5
1,facilitating,53,1600,9,9,0,0.210526315789474,0.5
1,facilitating,54,1650,9,9,0,0.210526315789474,0.5
1,facilitating,55,1700,8,9,0.111225635110224,0.222910216718266,0.529411764705882
1,facilitating,56,1750,9,9,0,0.210526315789474,0.5
1,facilitating,57,1800,9,9,0,0.210526315789474,0.5
1,filler,1,-1000,6,19,1.09861228866811,0.205128205128205,0.76
1,filler,2,-950,7,18,0.902867711542014,0.187387387387387,0.72
1,filler,3,-900,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,4,-850,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,5,-800,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,filler,6,-750,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,filler,7,-700,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,filler,8,-650,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,filler,9,-600,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,filler,10,-550,9,17,0.610909082322973,0.162406015037594,0.653846153846154
1,filler,11,-500,7,15,0.725937003382936,0.197849462365591,0.681818181818182
1,filler,12,-450,6,20,1.14862270924277,0.202626641651032,0.769230769230769
1,filler,13,-400,7,15,0.725937003382936,0.197849462365591,0.681818181818182
1,filler,14,-350,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,filler,15,-300,10,15,0.389464766761723,0.159754224270353,0.6
1,filler,16,-250,12,15,0.215111379616945,0.144516129032258,0.555555555555556
1,filler,17,-200,12,13,0.0769610411361284,0.154074074074074,0.52
1,filler,18,-150,13,12,-0.0769610411361283,0.154074074074074,0.48
