frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz)
1,0.028125,3,348.909,410.325,1735.022,195.263,3183.764,312.489
2,0.034375,3,350.113,470.986,1723.358,214.544,3248.255,410.622
3,0.040625,3,356.421,536.522,1744.442,218.318,3224.525,610.264
4,0.046875,3,362.651,506.609,1741.357,200.020,3178.156,448.584
5,0.053125,3,364.757,410.265,1739.414,163.353,3196.182,257.573
6,0.059375,3,351.951,370.354,1729.088,170.484,3198.240,171.346
7,0.065625,3,332.253,345.580,1728.546,172.648,3187.002,113.228
8,0.071875,3,305.340,312.196,1751.782,136.940,3178.240,104.975
9,0.078125,3,289.832,310.512,1752.853,112.262,3172.048,139.905
10,0.084375,3,297.704,289.183,1739.558,96.441,3149.692,143.703
11,0.090625,3,308.349,320.618,1735.706,105.387,3146.784,183.965
12,0.096875,3,319.632,352.416,1719.535,115.344,3117.005,252.227
13,0.103125,3,307.376,352.510,1714.604,93.552,3177.460,272.889
14,0.109375,3,248.469,412.940,1716.315,89.739,3211.462,228.795
15,0.115625,3,216.733,457.497,1713.791,78.942,3166.352,219.345
16,0.121875,3,214.615,457.403,1707.221,81.427,3167.173,168.008
17,0.128125,3,201.130,496.224,1704.616,120.246,3182.415,164.055
18,0.134375,3,202.383,500.726,1712.408,132.941,3178.603,135.462
19,0.140625,3,191.336,594.757,1693.853,123.768,3202.550,153.885
20,0.146875,3,194.127,698.496,1704.610,118.344,3215.634,174.729
21,0.153125,3,310.608,697.395,1715.093,129.530,3176.490,183.378
22,0.159375,3,478.405,545.731,1726.165,141.411,3179.667,148.040
23,0.165625,3,561.083,442.549,1729.986,160.503,3203.802,223.148
24,0.171875,3,619.942,345.054,1729.285,191.599,3191.135,253.854
25,0.178125,3,666.777,252.712,1731.207,213.732,3233.210,256.822
26,0.184375,3,696.828,208.869,1735.275,208.130,3254.028,224.850
27,0.190625,3,723.729,227.196,1755.195,200.361,3240.919,188.981
28,0.196875,3,765.688,300.194,1769.399,219.731,3281.952,237.513
29,0.203125,3,808.434,328.098,1773.878,242.026,3313.353,297.865
30,0.209375,3,842.381,281.574,1788.644,230.050,3367.331,383.085
31,0.215625,3,854.411,240.705,1782.644,211.328,3389.353,349.456
