Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion,ot1,ot2,ot3
1,facilitating,1,200,9,9,0,0.210526315789474,0.5,-0.39605901719067,0.454310850424255,-0.449744796342265
1,facilitating,2,250,9,10,0.100083458556983,0.200501253132832,0.526315789473684,-0.346551640041836,0.283944281515159,-0.112436199085566
1,facilitating,3,300,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.297044262893002,0.136293255127276,0.112436199085566
1,facilitating,4,350,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.247536885744169,0.0113577712606063,0.240934712326213
1,facilitating,5,400,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.198029508595335,-0.090862170084851,0.289121654791456
1,facilitating,6,450,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.148522131446501,-0.170366568909095,0.273059340636375
1,facilitating,7,500,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.0990147542976674,-0.227155425212127,0.208810084016052
1,facilitating,8,550,6,12,0.653926467406664,0.233846153846154,0.666666666666667,-0.0495073771488337,-0.261228738993946,0.112436199085566
1,facilitating,9,600,4,12,1.02165124753198,0.302222222222222,0.75,3.29785379996619e-17,-0.272586510254553,0
1,facilitating,10,650,3,15,1.48807705542983,0.350230414746544,0.833333333333333,0.0495073771488337,-0.261228738993946,-0.112436199085566
1,facilitating,11,700,3,15,1.48807705542983,0.350230414746544,0.833333333333333,0.0990147542976674,-0.227155425212127,-0.208810084016051
1,facilitating,12,750,3,16,1.55059741241117,0.346320346320346,0.842105263157895,0.148522131446501,-0.170366568909095,-0.273059340636375
1,facilitating,13,800,3,18,1.66500776358891,0.33976833976834,0.857142857142857,0.198029508595335,-0.090862170084851,-0.289121654791456
1,facilitating,14,850,0,19,3.66356164612965,2.05128205128205,1,0.247536885744169,0.0113577712606064,-0.240934712326213
1,facilitating,15,900,0,20,3.71357206670431,2.04878048780488,1,0.297044262893002,0.136293255127276,-0.112436199085566
1,facilitating,16,950,0,18,3.61091791264422,2.05405405405405,1,0.346551640041836,0.283944281515159,0.112436199085566
1,facilitating,17,1000,0,16,3.49650756146648,2.06060606060606,1,0.39605901719067,0.454310850424255,0.449744796342265
1,neutral,1,200,0,21,3.76120011569356,2.04651162790698,1,-0.39605901719067,0.454310850424255,-0.449744796342265
1,neutral,2,250,0,22,3.80666248977032,2.04444444444444,1,-0.346551640041836,0.283944281515159,-0.112436199085566
1,neutral,3,300,0,24,3.89182029811063,2.04081632653061,1,-0.297044262893002,0.136293255127276,0.112436199085566
1,neutral,4,350,0,24,3.89182029811063,2.04081632653061,1,-0.247536885744169,0.0113577712606063,0.240934712326213
1,neutral,5,400,0,26,3.97029191355212,2.0377358490566,1,-0.198029508595335,-0.090862170084851,0.289121654791456
1,neutral,6,450,1,21,2.66258782702545,0.713178294573643,0.954545454545455,-0.148522131446501,-0.170366568909095,0.273059340636375
1,neutral,7,500,3,21,1.81528996663825,0.332225913621262,0.875,-0.0990147542976674,-0.227155425212127,0.208810084016052
