frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz)
1,0.028125,3,314.400,200.360,1724.631,287.930,3254.385,514.341
2,0.034375,3,316.197,170.069,1660.296,234.191,3256.751,572.170
3,0.040625,3,310.628,138.111,1716.041,164.458,3278.575,555.520
4,0.046875,3,305.331,121.471,1737.632,135.353,3267.275,478.097
5,0.053125,3,302.829,121.191,1750.771,135.278,3303.293,533.531
6,0.059375,3,299.948,129.116,1754.228,152.097,3345.740,594.931
7,0.065625,3,296.394,126.684,1731.073,139.468,3316.510,403.783
8,0.071875,3,295.964,136.155,1774.595,104.337,3279.741,431.946
9,0.078125,3,293.119,138.428,1768.675,105.765,3206.816,357.344
10,0.084375,3,282.766,153.577,1741.308,103.740,3188.680,382.844
11,0.090625,3,258.832,185.976,1727.349,122.111,3222.628,421.568
12,0.096875,3,242.563,174.030,1693.702,125.843,3251.404,405.531
13,0.103125,3,240.394,169.481,1682.775,124.919,3251.764,318.404
14,0.109375,3,242.530,185.736,1680.048,129.185,3276.790,313.585
15,0.115625,3,244.248,198.150,1674.918,131.953,3288.132,264.710
16,0.121875,3,245.233,219.013,1670.281,110.527,3271.648,294.458
17,0.128125,3,244.060,259.298,1664.378,100.966,3221.269,409.939
18,0.134375,3,242.340,299.587,1673.942,93.878,3234.138,332.828
19,0.140625,3,251.041,303.886,1671.914,92.511,3237.922,174.248
20,0.146875,3,250.092,418.520,1675.762,101.031,3237.810,208.738
21,0.153125,3,265.496,548.222,1702.478,122.624,3227.268,376.709
22,0.159375,3,362.442,498.859,1740.952,131.062,3205.757,305.425
23,0.165625,3,456.275,315.760,1752.454,120.128,3217.556,183.267
24,0.171875,3,518.741,211.525,1744.295,128.105,3252.070,118.994
25,0.178125,3,573.606,168.559,1728.795,158.439,3274.929,147.063
26,0.184375,3,627.316,125.166,1775.563,168.078,3279.548,162.664
27,0.190625,3,654.836,101.369,1800.876,158.560,3303.111,168.642
28,0.196875,3,670.438,114.475,1787.221,163.106,3336.797,261.929
29,0.203125,3,685.877,146.640,1759.541,189.295,3329.028,380.687
30,0.209375,3,704.143,154.178,1776.526,183.539,3292.489,322.788
31,0.215625,3,727.172,157.518,1770.807,192.416,3326.671,241.100
32,0.221875,3,752.017,155.302,1757.797,206.948,3344.820,240.945
33,0.228125,3,775.121,140.492,1736.891,195.263,3319.600,183.539
34,0.234375,3,788.869,123.174,1748.380,186.204,3325.186,133.050
35,0.240625,3,802.218,115.382,1742.903,199.756,3341.736,160.691
36,0.246875,3,815.571,122.459,1728.311,253.152,3361.194,252.897
37,0.253125,3,828.007,130.838,1704.472,199.002,3354.272,261.333
38,0.259375,3,833.426,114.601,1684.345,170.027,3332.226,209.770
39,0.265625,3,840.157,107.740,1670.528,146.297,3345.905,228.729
40,0.271875,3,848.978,112.507,1670.249,134.233,3354.312,249.022
41,0.278125,3,858.304,127.573,1667.702,133.504,3358.242,258.251
42,0.284375,3,859.084,119.989,1659.402,118.226,3315.983,243.343
43,0.290625,3,862.550,117.925,1660.231,121.303,3297.068,245.152
44,0.296875,3,868.596,123.741,1660.559,124.946,3303.026,255.861
45,0.303125,3,869.318,121.748,1660.082,115.409,3305.236,219.698
46,0.309375,3,864.826,116.114,1653.878,118.940,3288.506,197.272
47,0.315625,3,863.424,113.429,1653.482,131.472,3301.473,181.691
48,0.321875,3,860.760,112.775,1650.558,141.820,3298.061,140.311
49,0.328125,3,857.188,116.626,1641.687,149.028,3299.472,123.877
50,0.334375,3,849.675,120.634,1623.598,164.076,3302.531,96.804
51,0.340625,3,839.450,135.398,1606.556,170.667,3288.096,108.263
52,0.346875,3,822.220,164.886,1592.705,188.428,3243.102,97.504
53,0.353125,3,802.856,212.182,1582.067,190.888,3232.257,86.818
54,0.359375,3,775.276,260.626,1575.072,167.070,3251.940,81.997
55,0.365625,3,746.077,263.723,1562.809,163.103,3263.828,74.026
56,0.371875,3,700.428,233.002,1548.861,150.719,3260.908,71.038
57,0.378125,3,661.696,219.862,1517.050,178.610,3266.560,91.615
58,0.384375,3,622.754,188.225,1490.715,166.335,3288.193,135.391
59,0.390625,3,568.760,234.601,1453.386,149.877,3300.452,180.712
60,0.396875,3,498.849,397.545,1417.993,153.841,3268.326,180.259
61,0.403125,3,379.755,433.379,1397.757,149.846,3239.390,130.245
62,0.409375,3,283.954,325.152,1426.429,354.461,3277.694,293.815
63,0.415625,3,281.866,299.085,1611.333,1146.813,3400.321,781.165
64,0.421875,2,273.593,294.616,1458.397,2198.060,--undefined--,--undefined--
65,0.428125,2,290.101,300.391,2647.508,515.942,--undefined--,--undefined--
66,0.434375,2,249.825,163.218,2657.269,430.987,--undefined--,--undefined--
67,0.440625,2,225.108,67.820,2751.844,785.361,--undefined--,--undefined--
68,0.446875,2,215.733,24.428,2572.533,967.105,--undefined--,--undefined--
69,0.453125,2,219.541,24.655,2340.199,775.129,--undefined--,--undefined--
70,0.459375,2,239.448,73.967,2293.545,631.170,--undefined--,--undefined--
71,0.465625,2,216.272,216.324,2210.540,591.057,--undefined--,--undefined--
72,0.471875,2,1256.782,2530.831,2364.809,1196.876,--undefined--,--undefined--
73,0.478125,2,1472.409,617.195,2794.602,781.275,--undefined--,--undefined--
74,0.484375,2,1543.886,720.796,2757.110,706.492,--undefined--,--undefined--
75,0.490625,2,1518.761,739.988,2740.652,626.209,--undefined--,--undefined--
76,0.496875,2,1507.550,1065.097,2755.373,814.080,--undefined--,--undefined--
77,0.503125,2,1156.965,1170.181,2702.230,957.682,--undefined--,--undefined--
78,0.509375,2,888.420,872.216,2239.787,933.491,--undefined--,--undefined--
79,0.515625,1,1908.172,863.437,--undefined--,--undefined--,--undefined--,--undefined--
80,0.521875,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
81,0.528125,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
82,0.534375,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
83,0.540625,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
84,0.546875,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
85,0.553125,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
86,0.559375,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
87,0.565625,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
88,0.571875,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
