frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz)
1,0.028125,3,336.568,417.729,1729.908,199.045,3205.664,323.770
2,0.034375,3,348.894,475.404,1723.835,214.471,3254.446,429.240
3,0.040625,3,356.330,537.444,1744.715,218.462,3224.053,612.994
4,0.046875,3,362.658,506.579,1741.361,200.014,3178.116,448.536
5,0.053125,3,364.757,410.265,1739.414,163.353,3196.182,257.572
6,0.059375,3,351.944,370.399,1729.092,170.505,3198.265,171.374
7,0.065625,3,332.234,345.706,1728.559,172.714,3187.052,113.282
8,0.071875,3,305.353,312.111,1751.773,136.901,3178.205,104.939
9,0.078125,3,289.937,309.910,1752.796,112.039,3171.712,139.563
10,0.084375,3,297.783,288.663,1739.511,96.263,3149.375,143.381
11,0.090625,3,308.425,320.150,1735.666,105.232,3146.461,183.623
12,0.096875,3,319.700,352.000,1719.500,115.210,3116.667,251.837
13,0.103125,3,307.443,352.139,1714.578,93.457,3177.100,272.516
14,0.109375,3,248.508,412.815,1716.309,89.712,3211.375,228.707
15,0.115625,3,216.615,457.780,1713.800,78.990,3166.508,219.516
16,0.121875,3,214.232,458.303,1707.247,81.586,3167.550,168.417
17,0.128125,3,200.752,496.989,1704.641,120.431,3182.697,164.374
18,0.134375,3,202.649,500.188,1712.390,132.798,3178.445,135.279
19,0.140625,3,191.426,594.612,1693.851,123.739,3202.509,153.838
20,0.146875,3,194.138,698.481,1704.610,118.341,3215.631,174.725
21,0.153125,3,310.680,697.212,1715.091,129.498,3176.443,183.318
22,0.159375,3,478.387,545.871,1726.169,141.448,3179.707,148.089
23,0.165625,3,561.081,442.632,1729.991,160.535,3203.853,223.206
24,0.171875,3,619.942,345.057,1729.286,191.601,3191.138,253.858
25,0.178125,3,666.784,252.762,1731.220,213.778,3233.284,256.898
26,0.184375,3,696.832,208.893,1735.283,208.156,3254.068,224.887
27,0.190625,3,723.727,227.187,1755.193,200.352,3240.908,188.970
28,0.196875,3,765.684,300.171,1769.394,219.713,3281.925,237.485
29,0.203125,3,808.428,328.070,1773.872,242.003,3313.312,297.825
30,0.209375,3,842.379,281.565,1788.641,230.042,3367.308,383.065
31,0.215625,3,854.413,240.712,1782.646,211.334,3389.372,349.472
32,0.221875,3,862.220,230.146,1785.822,211.139,3380.636,297.005
33,0.228125,3,870.237,217.857,1781.152,199.167,3367.610,260.139
34,0.234375,3,885.082,227.583,1777.888,204.911,3373.458,277.413
35,0.240625,3,889.388,219.161,1772.539,192.891,3381.627,267.188
36,0.246875,3,897.042,224.885,1772.700,202.210,3383.539,246.396
37,0.253125,3,901.662,214.019,1783.978,217.833,3389.384,257.057
38,0.259375,3,900.210,203.293,1787.374,216.953,3372.694,251.536
39,0.265625,3,899.078,201.411,1781.977,212.887,3355.193,233.565
40,0.271875,3,903.004,206.360,1786.515,218.180,3381.772,240.585
41,0.278125,3,898.416,180.792,1788.186,196.581,3355.973,201.292
