frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz)
1,0.028125,3,312.806,205.388,1732.852,285.046,3283.789,805.330
2,0.034375,3,316.240,170.940,1656.737,236.728,3245.801,574.031
3,0.040625,3,310.653,139.627,1715.190,166.566,3281.730,557.805
4,0.046875,3,305.419,122.019,1741.036,135.245,3273.413,484.559
5,0.053125,3,302.843,120.788,1750.686,134.667,3305.306,530.339
6,0.059375,3,299.875,129.274,1749.371,151.774,3345.743,595.457
7,0.065625,3,296.488,126.340,1728.866,140.309,3315.275,403.411
8,0.071875,3,296.027,135.763,1773.961,104.439,3279.557,432.331
9,0.078125,3,293.250,138.608,1770.007,106.070,3209.179,361.165
10,0.084375,3,283.260,154.242,1743.934,106.289,3190.296,398.667
11,0.090625,3,259.182,187.091,1726.373,123.191,3218.160,432.671
12,0.096875,3,242.781,174.618,1694.149,126.105,3247.568,411.582
13,0.103125,3,240.455,168.931,1682.498,124.798,3251.054,317.464
14,0.109375,3,242.540,185.392,1680.613,128.950,3276.066,314.251
15,0.115625,3,244.389,196.972,1674.569,131.590,3287.259,264.268
16,0.121875,3,245.994,213.010,1669.701,108.362,3259.959,284.247
17,0.128125,3,244.628,254.862,1663.745,99.940,3213.694,400.887
18,0.134375,3,242.800,296.239,1673.469,93.087,3226.590,331.658
19,0.140625,3,252.467,295.795,1671.521,90.306,3231.559,170.643
20,0.146875,3,252.128,409.239,1675.065,99.515,3234.201,202.350
21,0.153125,3,274.125,532.835,1700.426,121.447,3218.864,371.643
22,0.159375,3,440.503,429.670,1710.348,137.377,3175.110,308.106
23,0.165625,3,574.818,245.081,1725.480,126.807,3093.186,266.584
24,0.171875,3,635.551,165.159,1739.445,133.978,3101.583,257.461
25,0.178125,3,675.817,139.323,1715.717,168.042,3139.813,257.575
26,0.184375,3,719.599,173.155,1682.586,239.054,3219.963,198.191
27,0.190625,3,746.791,190.360,1682.746,256.211,3208.799,176.264
28,0.196875,3,763.075,171.856,1691.895,212.474,3163.742,133.297
29,0.203125,3,797.386,164.841,1687.397,199.591,3161.870,122.269
30,0.209375,3,832.508,166.856,1681.056,198.899,3183.225,164.676
31,0.215625,3,850.182,162.569,1676.283,194.676,3186.102,220.859
32,0.221875,3,870.508,162.379,1678.105,176.590,3188.260,270.584
